post_id,title,category,score,num_comments,author,collected_at,engagement,is_popular
47704804,How NASA built Artemis II’s fault-tolerant computer,others,346,117,speckx,2026-04-10 14:26:07,0.3371757925072046,True
47712718,I still prefer MCP over skills,others,140,124,gmays,2026-04-10 14:26:08,0.8794326241134752,False
47708818,Native Instant Space Switching on macOS,science,483,218,PaulHoule,2026-04-10 14:26:09,0.45041322314049587,True
47712656,We've raised $17M to build what comes after Git,technology,109,226,ellieh,2026-04-10 14:26:11,2.0545454545454547,False
47675906,Generative art over the years,others,137,32,evakhoury,2026-04-10 14:26:12,0.2318840579710145,False
47665890,War on Raze,worldnews,6,0,tosh,2026-04-10 14:26:13,0.0,False
47680005,RAM Has a Design Flaw from 1966. I Bypassed It [video],others,203,49,surprisetalk,2026-04-10 14:26:15,0.24019607843137256,False
47709158,Charcuterie – Visual similarity Unicode explorer,others,219,40,rickcarlino,2026-04-10 14:26:16,0.18181818181818182,False
47713495,"ETH Zurich demonstrates 17,000 qubit array with 99.91% fidelity",others,28,4,joko42,2026-04-10 14:26:17,0.13793103448275862,False
47713584,"Afrika Bambaataa, hip-hop pioneer, has died",others,110,16,mellosouls,2026-04-10 14:26:19,0.14414414414414414,False
47714273,Penguin 'Toxicologists' Find PFAS Chemicals in Remote Patagonia,others,7,1,giuliomagnifico,2026-04-10 14:26:20,0.125,False
47706140,Unfolder for Mac – A 3D model unfolding tool for creating papercraft,others,225,45,codazoda,2026-04-10 14:26:22,0.19911504424778761,False
47708041,PicoZ80 – Drop-In Z80 Replacement,others,190,30,rickcarlino,2026-04-10 14:26:23,0.15706806282722513,False
47707477,Old laptops in a colo as low cost servers,others,261,148,argentum47,2026-04-10 14:26:24,0.5648854961832062,False
47707632,"Instant 1.0, a backend for AI-coded apps",technology,142,77,stopachka,2026-04-10 14:26:25,0.5384615384615384,False
47675731,Principles of Mechanical Sympathy,others,53,4,zdw,2026-04-10 14:26:27,0.07407407407407407,False
47706141,Research-Driven Agents: When an agent reads before it codes,science,177,48,hopechong,2026-04-10 14:26:29,0.2696629213483146,False
47713113,"The Raft consensus algorithm explained through ""Mean Girls"" (2019)",technology,77,21,vermilingua,2026-04-10 14:26:30,0.2692307692307692,False
47713839,YouTube locked my accounts and I can't cancel my subscription,others,92,60,digitalhigh,2026-04-10 14:26:31,0.6451612903225806,False
47683042,VFX HQ: Visual Effects Headquarters (2000),others,9,0,exvi,2026-04-10 14:26:32,0.0,False
47707762,"Hegel, a universal property-based testing protocol and family of PBT libraries",others,113,32,PaulHoule,2026-04-10 14:26:33,0.2807017543859649,False
47661300,Knit File Formats,others,13,1,surprisetalk,2026-04-10 14:26:35,0.07142857142857142,False
47710466,Kagi Product Tips – Customize Your Search Results with URL Redirects,others,75,11,treetalker,2026-04-10 14:26:36,0.14473684210526316,False
47660911,Will I ever own a zettaflop?,others,94,59,surprisetalk,2026-04-10 14:26:37,0.6210526315789474,False
47709130,Reverse engineering Gemini's SynthID detection,others,149,50,_tk_,2026-04-10 14:26:38,0.3333333333333333,False
47674950,An AI robot in my home,technology,33,12,kukanani,2026-04-10 14:26:39,0.35294117647058826,False
47689550,"LLM plays an 8-bit Commander X16 game using structured ""smart senses""",sports,22,4,russellharper,2026-04-10 14:26:40,0.17391304347826086,False
47710007,Moving from WordPress to Jekyll (and static site generators in general),others,81,42,rgrieselhuber,2026-04-10 14:26:41,0.5121951219512195,False
47705413,Show HN: I built a Cargo-like build tool for C/C++,entertainment,149,135,randerson_112,2026-04-10 14:26:43,0.9,False
47702541,A WebGPU implementation of Augmented Vertex Block Descent,others,142,18,juretriglav,2026-04-10 14:26:44,0.1258741258741259,False
47670188,Robots eat cars,others,57,69,JMill,2026-04-10 14:26:45,1.1896551724137931,False
47697870,LittleSnitch for Linux,others,1313,420,pluc,2026-04-10 14:26:46,0.319634703196347,True
47710907,Many African families spend fortunes burying their dead,others,196,186,powera,2026-04-10 14:26:47,0.9441624365482234,False
47695666,Show HN: Druids – Build your own software factory,technology,51,11,etherio,2026-04-10 14:26:48,0.21153846153846154,False
47712222,New iPhone age and identity checks restrict internet freedom in the UK,others,190,99,josephcsible,2026-04-10 14:26:49,0.518324607329843,False
47691730,I ported Mac OS X to the Nintendo Wii,others,1856,315,blkhp19,2026-04-10 14:26:50,0.16962843295638125,True
47702647,"Launch HN: Relvy (YC F24) – On-call runbooks, automated",others,45,23,behat,2026-04-10 14:26:52,0.5,False
47706268,EFF is leaving X,others,1302,1118,gregsadetsky,2026-04-10 14:26:53,0.8580199539524175,True
47710835,"Show HN: Rust based eBook library for Python, with MIT license",entertainment,23,2,larry-the-agent,2026-04-10 14:26:54,0.08333333333333333,False
47710149,Microsoft is employing dark patterns to goad users into paying for storage?,others,323,183,jpmitchell,2026-04-10 14:26:55,0.5648148148148148,True
47709251,Netflix Prices Went Up Again – I Bought a DVD Player Instead,technology,207,234,speckx,2026-04-10 14:26:56,1.125,False
47702196,"Show HN: CSS Studio. Design by hand, code by agent",entertainment,153,95,SirHound,2026-04-10 14:26:57,0.6168831168831169,False
47713265,"Installing OpenBSD on the Pomera DM250{,XY?}",others,9,1,jandeboevrie,2026-04-10 14:26:58,0.1,False
47703419,Meta removes ads for social media addiction litigation,others,583,236,giuliomagnifico,2026-04-10 14:27:00,0.4041095890410959,True
47687273,Git commands I run before reading any code,others,2248,477,grepsedawk,2026-04-10 14:27:01,0.2120942641173855,True
